Acacia_cyclops	Acacia_longifolia	Acacia_saligna	Acrolophia_capensis	Adenandra_villosa	Agapanthus_africanus	Agathosma_ciliaris	Agathosma_imbricata	Aizoon_sarmentosum	Albuca_canadensis	Albuca_cooperi	Albuca_flaccida	Amphithalea_ericifolia	Anaxeton_laeve	Anemone_vesicatoria	Anisodontea_scabrosa	Anthochortus_crinalis	Anthospermum_aethiopicum	Anthospermum_bergianum	Arctotheca_calendula	Aristea_africana	Aristea_capitata	Aristea_cuspidata	Aristea_dichotoma	Aristea_spiralis	Aspalathus_capensis	Aspalathus_chenopoda	Aspalathus_divaricata	Aspalathus_ericifolia	Aspalathus_forbesii	Aspalathus_laricifolia	Aspalathus_linguiloba	Asparagus_capensis	Asparagus_lignosus	Asparagus_rubicundus	Asparagus_suaveolens	Astephanus_triflorus	Athanasia_crithmifolia	Babiana_ambigua	Babiana_sp1	Berkheya_armata	Berzelia_lanuginosa	Blechnum_capense	Bobartia_gladiata	Bobartia_indica	Fagelia_bituminosa	Brassica_tournefortii	Briza_maxima	Briza_minor	Brunia_noduliflora	Brunsvigia_orientalis	Caesia_contorta	Capeobolus_brevicaulis	Capelio_tabularis	Carex_aethiopica	Carpacoce_spermacocea	Carpacoce_vaginellata	Carpobrotus_acinaciformis	Carpobrotus_edulis	Cassine_maritima	Cassine_peragua	Cassytha_ciliolata	Centella_glabrata	Chasmanthe_aethiopica	Chironia_baccifera	Chironia_linoides	Chrysocoma_ciliata	Chrysitrix_capensis	Chrysocoma_coma.aurea	Cineraria_geifolia	Cissampelos_capensis	Cliffortia_atrata	Cliffortia_falcata	Cliffortia_filifolia	Cliffortia_graminea	Cliffortia_obcordata	Cliffortia_polygonifolia	Cliffortia_ruscifolia	Cliffortia_stricta	Clutia_alaternoides	Clutia_polygonoides	Androcymbium_eucomoides	Colpoon_compressum	Nidorella_ivifolia	Corymbium_africanum	Corymbium_enerve	Corymbium_glabrum	Crassula_capensis	Crassula_fascicularis	Crassula_glomerata	Crassula_nudicaulis	Cullumia_setosa	Cullumia_squarrosa	Cussonia_thyrsiflora	Cymbopogon_marginatus	Cynanchum_obtusifolium	Cyperus_thunbergii	Cyathocoma_hexandra	Diastella_divaricata	Dilatris_pillansii	Dimorphotheca_pluvialis	Diosma_hirsuta	Diosma_oppositifolia	Diospyros_glabra	Dipogon_lignosus	Disa_bracteata	Disa_ferruginea	Disparago_ericoides	Drosanthemum_hispidum	Drosera_aliciae	Drosera_capensis	Edmondia_sesamoides	Ehrharta_calycina	Ehrharta_capensis	Ehrharta_longifolia	Ehrharta_ramosa	Ehrharta_setacea	Elegia_ebracteata	Elegia_racemosa	Elegia_stipularis	Elegia_thyrsifera	Elytropappus_scaber	Epischoenus_gracilis	Epischoenus_villosus	Erepsia_anceps	Erepsia_bracteata	Erica_abietina	Erica_baccans	Erica_corifolia	Erica_cerinthoides	Erica_coccinea	Erica_curviflora	Erica_glabella	Erica_hirtiflora	Erica_hispidula	Erica_imbricata	Erica_limosa	Erica_lutea	Erica_mammosa	Erica_multumbellifera	Erica_muscosa	Erica_nudiflora	Erica_physodes	Erica_plukenetii	Erica_pulchella	Erica_similis	Erica_sp28	Erica_subcapitata	Erica_tristis	Euclea_racemosa	Euphorbia_erythrina	Euphorbia_tuberosa	Euryops_abrotanifolius	Ursinia_chrysanthemoides	Felicia_fruticosa	Fern_sp5	Ficinia_anceps	Ficinia_angustifolia	Ficinia_brevifolia	Ficinia_bulbosa	Ficinia_deusta	Ficinia_dunensis	Ficinia_ecklonea	Ficinia_filiformis	Ficinia_gracilis	Ficinia_indica	Ficinia_lateralis	Ficinia_nigrescens	Ficinia_oligantha	Ficinia_ramosissima	Ficinia_secunda	Gazania_pectinata	Geochloa_rufa	Gladiolus_sp1	Gleichenia_polypodioides	Gnidia_humilis	Gnidia_juniperifolia	Gnidia_pinifolia	Gnidia_tenella	Gnidia_tomentosa	Haemanthus_coccineus	Haplocarpha_lanata	Hebenstretia_repens	Helichrysum_crispum	Helichrysum_cymosum	Helichrysum_dasyanthum	Helichrysum_indicum	Helichrysum_litorale	Helichrysum_niveum	Helichrysum_pandurifolium	Helichrysum_patulum	Helichrysum_tinctum	Heliophila_africana	Hellmuthia_membranacea	Hermannia_flammea	Hermannia_rudis	Hermas_villosa	Hibiscus_aethiopicus	Holothrix_villosa	Hypochoeris_radicata	Hypodiscus_albo.aristatus	Hypodiscus_aristatus	Hypodiscus_willdenowia	Imperata_cylindrica	Indigofera_brachystachya	Itasina_filifolia	Jordaaniella_dubia	Kedrostis_nana	Koeleria_capensis	Lachenalia_sp2	Cryptadenia_grandiflora	Lagurus_ovatus	Lampranthus_sp1	Lampranthus_emarginatus	Lampranthus_sp3	Lampranthus_sp5	Lampranthus_sp6	Tetraria_bromoides	Leptospermum_laevigatum	Leucadendron_coniferum	Leucadendron_laureolum	Leucadendron_salignum	Leucadendron_xanthoconus	Leucospermum_conocarpodendron	Lichtensteinia_lacera	Limonium_scabrum	Linum_africanum	Liparia_parva	Liparia_splendens	Lobelia_comosa	Lobelia_coronopifolia	Lobelia_pinifolia	Lobelia_setacea	Lobostemon_montanus	Lycium_afrum	Lyperia_tristis	Macrostylis_villosa	Mastersiella_digitata	Maytenus_oleoides	Metalasia_brevifolia	Metalasia_cephalotes	Metalasia_compacta	Metalasia_densa	Metalasia_muricata	Microdon_dubius	Mimetes_fimbriifolius	Miscanthus_ecklonii	Montinia_caryophyllacea	Moraea_sp1	Moraea_tripetala	Morella_humilis	Moss_sp1	Muraltia_acipetala	Muraltia_divaricata	Muraltia_heisteria	Muraltia_orbicularis	Muraltia_satureioides	Muraltia_sp3	Muraltia_sp12	Muraltia_thunbergii	Myrsine_africana	Nemesia_sp1	Oftia_africana	Olea_capensis	Olea_exasperata	Orchid_sp2	Osmitopsis_asteriscoides	Osteospermum_ciliatum	Osteospermum_monolifera	Osteospermum_polygaloides	Otholobium_fruticans	Othonna_coronopifolia	Othonna_filicaulis	Othonna_quinquedentata	Oxalis_sp14	Passerina_corymbosa	Passerina_paleacea	Pelargonium_betulinum	Pelargonium_capitatum	Pelargonium_cucullatum	Pelargonium_longifolium	Pelargonium_myrrhifolium	Pelargonium_sp1	Pelargonium_sp3	Pelargonium_triste	Pellaea_calomelanos	Penaea_mucronata	Pennisetum_macrourum	Pentameris_sp1	Pentaschistis_airoides	Pentaschistis_ampla	Pentaschistis_aristidoides	Pentameris_barbata	Pentaschistis_calcicola	Pentaschistis_curvifolia	Pentameris_macrocalycina	Pentaschistis_pallescens	Petalacte_coronata	Nanobubon_strictum	Pharnaceum_lineare	Phylica_dioica	Phylica_ericoides	Phylica_imberbis	Phylica_pubescens	Pinus_radiata	Platycaulos_compressus	Podalyria_argentea	Podalyria_biflora	Podalyria_calyptrata	Podalyria_sericea	Polygala_garcinii	Polygala_myrtifolia	Polygala_recognita	Protea_cynaroides	Protea_lepidocarpodendron	Protea_nitida	Protea_repens	Pseudopentameris_caespitosa	Pseudopentameris_hastifolius	Pseudopentameris_macrantha	Pseudoselago_serrata	Pseudoselago_spuria	Psoralea_pinnata	Psoralea_aculeata	Psoralea_laxa	Pteridium_aquilinum	Pterocelastrus_tricuspidatus	Rafnia_capensis	Rapanea_melanophloeos	Rapistrum_rugosum	Restio_capensis	Restio_cincinnatus	Restio_curviramis	Restio_eleocharis	Restio_filiformis	Restio_gaudichaudianus	Restio_sp1	Restio_tetragonus	Restio_triticeus	Restio_vimineus	Roella_amplexicaulis	Roella_ciliata	Roella_incurva	Ruschia_sarmentosa	Saltera_sarcocolla	Salvia_africana.lutea	Satyrium_carneum	Scabiosa_columbaria	Schizaea_pectinata	Searsia_glauca	Searsia_laevigata	Searsia_lucida	Searsia_rosmarinifolia	Searsia_tomentosa	Selago_polystachya	Senecio_arenarius	Senecio_elegans	Senecio_hastifolius	Senecio_pterophorus	Senecio_rigidus	Senecio_umbellatus	Serruria_villosa	Sideroxylon_inerme	Silene_aethiopica	Silene_cretica	Silene_pilosellifolia	Silene_undulata	Sonchus_oleraceus	Soroveta_ambigua	Staavia_radiata	Staberoha_cernua	Staberoha_distachyos	Stachys_aethiopica	Stilbe_vestita	Stipagrostis_zeyheri	Seriphium_cinereum	Stoebe_cyathuloides	Seriphium_plumosum	Struthiola_argentea	Struthiola_ciliata	Syncarpha_speciosissima	Syncarpha_gnaphaloides	Syncarpha_vestita	Trachyandra_hirsuta	Tarchonanthus_littoralis	Tenaxia_stricta	Tetragonia_fruticosa	Tetraria_brachyphylla	Tetraria_capillacea	Tetraria_compar	Tetraria_cuspidata	Tetraria_exilis	Tetraria_eximia	Tetraria_fasciata	Tetraria_fimbriolata	Tetraria_flexuosa	Tetraria_microstachys	Tetraria_sylvatica	Tetraria_thermalis	Tetraria_ustulata	Thamnochortus_erectus	Thamnochortus_fruticosus	Thamnochortus_gracilis	Thamnochortus_lucens	Thamnochortus_obtusus	Thamnochortus_sporadicus	Themeda_triandra	Thesium_acuminatum	Thesium_aggregatum	Thesium_carinatum	Thesium_sp2	Thesium_strictum	Thesium_subnudum	Thesium_virgatum	Thesium_viridifolium	Trachyandra_revoluta	Trachyandra_tabularis	Tribolium_hispidum	Tribolium_uniolae	Trichocephalus_stipularis	Trichogyne_ambigua	Ifloga_repens	Tritoniopsis_antholyza	Tritoniopsis_parviflora	Tritoniopsis_triticea	Tritoniopsis_unguicularis	Ursinia_anthemoides	Viscum_capense	Wachendorfia_paniculata	Wahlenbergia_exilis	Wahlenbergia_tenella	Watsonia_borbonica	Watsonia_tabularis	Willdenowia_glomerata	Willdenowia_teres	Zygophyllum_fulvum
23_1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
23_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
23_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24_1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
